"side_effect","predicted_drug","similarity_score"
"Listeriosis 1 Pyrexia 1 Diarrhoea 1 Meningitis 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99796884450513"
"Overdose 6 General physical health deterioration 6 Malaise 6 Drug ineffective 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99808955836365"
"Haematoma 2 Thrombocytopenia 2 International normalised ratio increased 2","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99584211701772"
"Device dislocation","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99763717067563"
"Cerebrovascular accident 6 Blood pressure increased 6 Pain 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99768036284542"
"Aggression 3 Violence-related symptom 3 Anger 6 Blepharospasm 3 Suicidal ideation 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99917175900529"
"Haemoglobin decreased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99846567070073"
"Posterior reversible encephalopathy syndrome 1 Cerebral haemorrhage 4 Subarachnoid haemorrhage 4","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99744477902817"
"Erection increased 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99369009827682"
"Hyponatraemia 2","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9845522959179"
"Loss of consciousness 1 Listeriosis 1 Pyrexia 1 Headache 1 Vomiting 1 Meningitis 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99426511690667"
"Fluid retention 1 Haemoglobin decreased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99804499517256"
"Subdural haematoma 4","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99374258543"
"Sopor 1 Drug abuse 1 Overdose 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99678916064789"
"Hallucination, visual 6 Headache 6 Insomnia 6 Somnolence 6 Confusional state 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99699133331981"
"Cognitive disorder 2 Alopecia 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99678916340401"
"Ileus paralytic 1 Abdominal pain 6 Nausea 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99856184075114"
"Foetal death 6 Abortion late 6 Amniotic cavity infection 6 Maternal exposure during pregnancy 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99483544664882"
"Breast cancer Device misuse","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99704552027897"
"Uterine perforation Depression Anxiety Depressed mood Device issue Injury Pain Emotional distress","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99711735785468"
"Foetal distress syndrome 6 Intraventricular haemorrhage neonatal 6 Low birth weight baby 6 Listeriosis 6 Pyrexia 6 Sepsis 6 Meningitis 6 Pneumonia aspiration 6 Oxygen saturation decreased 6 Foetal exposure during pregnancy 6","PHILLIPS^ MILK OF MAGNESIA LIQUID ORIGINAL","0.99701593905961"
"Meconium stain 6 Amniotic cavity infection 6 Maternal exposure during pregnancy 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99616125876496"
"Oedema peripheral 6 Fluid retention 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99879849692507"
"Fatigue 1 Oedema peripheral 1 Drug ineffective 6 Flushing 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99892958389979"
"Cardiac failure congestive 6 Fluid retention 6 Swelling 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99848944665718"
"Pyelonephritis 1 Maternal exposure during pregnancy 6 Normal newborn 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99709323062274"
"Blood pressure fluctuation 6 Dyspepsia 6 Allergic cough 1 Headache 1 Malaise 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99640695316769"
"Fluid retention 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99453622525052"
"Fluid overload 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9919523895069"
"Renal failure acute 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99745349928206"
"Disorientation 1 Drug prescribing error 1 Incorrect dose administered 1 Medication error 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99404366807276"
"Foetal death 6 Amniotic cavity infection 6 Maternal exposure during pregnancy 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99480639036519"
"Pharyngeal oedema 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99876933911748"
"Off label use 6 Eye haemorrhage 2 Blood creatinine increased 6 Visual acuity reduced 6 Ophthalmological examination abnormal 6 Alanine aminotransferase increased 6 Aspartate aminotransferase increased 6 Feeling abnormal 6 Somnolence 6 Drug intolerance 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99379982828905"
"Spinal column stenosis 6 Diabetes mellitus 6","PRIVATE LABEL","0.77155350333479"
"Blindness 3","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99419850283877"
"Acute graft versus host disease 5 Chronic graft versus host disease 5 Lung disorder 6 Death 5 Infection 5 Mucosal inflammation 6 Gastrointestinal toxicity 6 Cardiotoxicity 6 Neurotoxicity 6 Hepatotoxicity 6 Nephropathy toxic 6 Transplant failure 6 Venoocclusive disease 6 Malignant neoplasm progression 5 Off label use 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99784101960394"
"Infection 6 Central venous catheterisation 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9969664260446"
"Femur fracture 3 Fall 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99727739278346"
"Neutropenia 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99856651374498"
"Pain in extremity 1 Hereditary angioedema 1 Anxiety 1 Panic attack 1 Depression 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99489924930246"
"Cardiac failure congestive 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99762663521065"
"Haemoglobin decreased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99846567070073"
"Hepatocellular injury 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99802872899013"
"Adnexa uteri pain Drug ineffective Pregnancy with contraceptive device Embedded device Ovarian cyst Injury Dyspareunia Pain","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99897860901485"
"Uterine perforation Post procedural discomfort Pain Device dislocation Pregnancy with contraceptive device 1 Drug ineffective Device difficult to use Uterine haemorrhage Injury Depression Anxiety Stress Device issue","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99738946664998"
"Oedema peripheral 1 Gait disturbance 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99909803946073"
"Plasma cell myeloma 5 Respiratory disorder 5 Arrhythmia 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99803129303899"
"Chest pain 1 Oedema peripheral 1 Gastrooesophageal reflux disease 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99854616433492"
"Pulmonary embolism 1 Anaemia 1 Haemoglobin decreased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99856726277285"
"Oesophageal perforation 6 Gastric haemorrhage 6 Hepatic failure 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99685389991562"
"Nerve compression 3 Mobility decreased 3 Abasia 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99405381424935"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Nasopharyngitis 3 Malaise 6 Pyrexia 3 Nasal congestion 3 Headache 6 Diarrhoea 3 Nausea 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99695471927659"
"Breast cancer 3 Erythema 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99523142426933"
"Monocyte count decreased 2 Gamma-glutamyltransferase increased 2 B-lymphocyte count decreased 2 Skin lesion 2 Mean platelet volume decreased 2 Kaposi^s sarcoma 2 White blood cell count decreased 2 Lymphocyte count decreased 2 Neutrophil count decreased 2 T-lymphocyte count decreased 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99856102103733"
"Linear IgA disease 2","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99725565439958"
"Rheumatoid arthritis 3 Arthralgia 3 Rheumatoid factor increased 3 Neck pain 3 Back pain 3 Musculoskeletal pain 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99926543834021"
"Asthenia 6 Palpitations 6 Thirst 6 Gait disturbance 6 Death 5 Influenza 6 Weight decreased 6 Nasopharyngitis 6 Fall 6 Confusional state 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99481821018057"
"Subcutaneous haematoma 1 Hypotension 1 Anaemia 1 Renal failure chronic 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9947489306465"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Sepsis 5","ADVAIR BLOOD PRESSURE MEDICATION","0.99718405123281"
"Tonsillectomy 6","FASLODEX FASLODEX","0.80231223596755"
"Completed suicide 5 Suicidal behaviour 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99925509871685"
"Blood count abnormal 6 Haemoglobin decreased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99749662887542"
"Surgery 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99281946947326"
"Loss of consciousness 6 Fall 6 Gait disturbance 6 Convulsion 6 Influenza 2 Speech disorder 6 Malaise 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99476483559121"
"Atrioventricular block first degree 1 Angina pectoris 1","BEVACIZUMAB {'activesubstancename': 'BEVACIZUMAB'} CRLX101 {'activesubstancename': 'INVESTIGATIONAL PRODUCT'}","0.99820551409865"
"Muscle spasms 6 Condition aggravated 6 Pain 6 Hypoaesthesia 6 Abdominal distension 6 Insomnia 1 Fatigue 6 Nausea 2 Alopecia 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99646667679289"
"Transfusion 6","SPIRIVA NASAL OXYGEN","0.99442012901258"
"Convulsion 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99410519046109"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Mental disorder 3 Panic attack 3 Depression 3 Anxiety 3 Condition aggravated 3 Off label use 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9956499140194"
"Acute respiratory distress syndrome 5 Multi-organ failure 5 General physical health deterioration 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9972881856383"
"Death 5 Pleural effusion 6 Blister 6 Hypothyroidism 6 Blood potassium decreased 6 Anaemia 6 Nausea 1 Vomiting 1 Constipation 6 Blood pressure increased 6 Fluid retention 6 Pollakiuria 6 Local swelling 6 Joint swelling 6 Swelling 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99415404462097"
"Grand mal convulsion 6 Malaise 6 Abdominal pain upper 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99923028874769"
"Hyperthyroidism 2 Diabetes mellitus 6","PRIVATE LABEL","0.67528341157974"
"Haemoglobin decreased 2 Pyrexia 6 Headache 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99846175815401"
"Malnutrition 5 Multiple sclerosis 5 Loss of consciousness 6 Weight decreased 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99376748740104"
"Fibroadenoma of breast 6 Off label use 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99782010081026"
"Hyperthermia malignant 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9923412486176"
"Neoplasm malignant 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99815200910592"
"Diabetes mellitus 6 Endocarditis staphylococcal 1","PRIVATE LABEL","0.72972744231398"
"Nephrogenic systemic fibrosis 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99840825303752"
"Type 2 diabetes mellitus 6","PRIVATE LABEL","0.68101289932382"
"Influenza 2 Pneumonia 2","ADVAIR BLOOD PRESSURE MEDICATION","0.99752267507"
"Nephrogenic systemic fibrosis 5","ADVAIR BLOOD PRESSURE MEDICATION","0.99840825303752"
"Neutrophil count increased 6 White blood cell count increased 3 Abnormal behaviour 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99495634438465"
"Dehydration 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99499758049254"
"Hospitalisation 6 Convulsion 6 Convulsion 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99499421413795"
"Lower limb fracture 6 Syncope 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99716060984523"
"Osteomyelitis 1","BOCEPREVIR REBETOL REBETOL REBETOL PEGASYS","0.98049350120682"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Erysipelas 5 Sepsis 5","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99578749703286"
"Atrial septal defect 1 Bundle branch block right 1 Tachycardia 1","ADVAIR BLOOD PRESSURE MEDICATION","0.99908743084773"
"Rectal haemorrhage 3 Rectal haemorrhage 3 Asthenia 3 Weight decreased 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99884242003038"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Organising pneumonia 1 Fall 1 Lung infection 1 Urinary tract infection bacterial 1 Lower respiratory tract infection bacterial 1 Acute respiratory distress syndrome 1 Loss of consciousness 1 Psoriasis 3 Blood cholesterol increased 3 Amnesia 1 Dyspnoea 1 Headache 1 Exposure to contaminated water 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9951044718455"
"Vomiting 1 Nausea 1 Fatigue 2 Lethargy 2 Abdominal pain upper 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99894888217433"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Depression 6 Wheelchair user 6 Drug effect decreased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99787920495672"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Coeliac disease 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99661368309711"
"Blindness 3","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99419850283877"
"Hypertension 3 Blood pressure increased 3 Hyperhidrosis 3 Hyperhidrosis 3","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99348368325928"
"Multiple sclerosis 5","INTRAVENOUS HUMAN IMMUNOGLOBULIN {'activesubstancename': 'HUMAN IMMUNOGLOBULIN G'} METHYLPREDNISOLONE. {'activesubstancename': 'METHYLPREDNISOLONE'}","0.99885150697943"
"Neoplasm malignant 5 Metastasis 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99388958655973"
"Fall 6 Head injury 6 Arthralgia 6 Urinary tract infection 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99616309487264"
"Asthenia 1 Ear infection 1 Increased viscosity of bronchial secretion 3 Sinus disorder 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99437730516075"
"Chronic obstructive pulmonary disease 3 Endotracheal intubation 6 Acute respiratory failure 3 Hyperglycaemia 3 Bronchitis pneumococcal 3 Bronchitis 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99662233111525"
"Nephrogenic systemic fibrosis 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99840825303752"
"Rhinalgia 6 Facial pain 6 Mobility decreased 6 Seizure 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99913192683981"
"Blood sodium decreased 2 Cholelithiasis 2 Hepatic mass 2 Hyperglycaemia 6 Dyspnoea 6 Inappropriate antidiuretic hormone secretion 2","ADVAIR BLOOD PRESSURE MEDICATION","0.9997097709958"
"Hyperthermia malignant 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.9923412486176"
"Fallot^s tetralogy 6 Cleft palate 6 Autism 3 Foetal exposure during pregnancy 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99696482285087"
"Chronic obstructive pulmonary disease 6 Emphysema 6 Bronchitis 6 Dyspnoea 6 Stress 6 Anxiety 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99767887541783"
"Unevaluable event 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99422449441488"
"Lung infection 2","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99466806547897"
"Suicide attempt 2 Antipsychotic drug level below therapeutic 3 Mental disorder 6 Antipsychotic drug level above therapeutic 3 Adverse reaction 6 Suicidal ideation 2 Dizziness 3 Aphasia 3 Syncope 6 Memory impairment 6 Bronchitis 2 Irritability 3 Feeling abnormal 3 Amnesia 6 Conversion disorder 6 Visual impairment 6 Vision blurred 6 Headache 3 Pyrexia 3 Pain 3 Injection site reaction 3 Injection site haemorrhage 6 Fatigue 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99529007464384"
"Confusional state 1 Hyperammonaemia 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99791597037015"
"Respiratory distress 5 Pulmonary oedema 5 Dyspnoea 6 Pulmonary alveolar haemorrhage 6 Pulmonary veno-occlusive disease 6 Therapeutic response decreased 6 Drug ineffective 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99916430521489"
"Haemoglobin decreased 3 Weight increased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99872197624722"
"Nephrogenic systemic fibrosis 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99840825303752"
"Pneumonia 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99460458310151"
"Pulmonary valve stenosis congenital 6 Congenital anomaly 6 Foetal exposure during pregnancy 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99728112297305"
"Death 5 Dyspnoea 6 Fatigue 6 Dysphonia 1 Diarrhoea 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99905275856887"
"Convulsion 6 Dyspnoea 6 Skin discolouration 6 Lip discolouration 6 Status epilepticus 6 Epilepsy 6 Fall 6 Tooth loss 6 Central nervous system lesion 6 Cognitive disorder 6 Drug withdrawal syndrome 6 Quality of life decreased 6 General physical health deterioration 6 Mental impairment 6 Disorientation 6 Affect lability 6 Gait disturbance 6 Speech disorder 6 Anticonvulsant drug level decreased 6 Drug effect decreased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99553111400393"
"Investigation 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99660886360621"
"Liver disorder 6 Transaminases increased 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.9965011770393"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Abortion induced 1 Unintended pregnancy 1 Medical device complication 6 Product quality issue 6 Drug dose omission 6","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99372887552648"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Renal failure acute 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99745349928206"
"Type 2 diabetes mellitus 3","PRIVATE LABEL","0.68101289932382"
"Cholelithiasis 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.96773060017415"
"Bone marrow failure 2 Bone marrow failure 3 Neutrophil count decreased 3","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99849859028269"
"Chronic obstructive pulmonary disease 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99891932874134"
"Dementia Alzheimer^s type 6 Hip fracture 6 Cerebrovascular accident 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.98773000244616"
"Nephrogenic systemic fibrosis 3","ADVAIR BLOOD PRESSURE MEDICATION","0.99840825303752"
"Pancreatitis 5","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99028254622924"
"Hypoacusis 2","PRIVATE LABEL","0.9185198539515"
"Pneumonia 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99460458310151"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Pancytopenia 6","HUMAN CLOTTABLE PROTEIN/HUMAN THROMBIN","0.99620388660004"
"Low turnover osteopathy 6 Femur fracture 2 Reflux laryngitis 6 Gingival recession 6 Intramedullary rod insertion 6 Rib fracture 6 Bone graft 6 Squamous cell carcinoma of skin 6 Osteoporosis 6 Periodontal operation 6","DELFLEX PD SOLUTIONS 1.5% DELFLEX {'activesubstancename': 'CALCIUM CHLORIDE\\DEXTROSE MONOHYDRATE\\MAGNESIUM CHLORIDE\\SODIUM CHLORIDE\\SODIUM LACTATE'} LIBERTY CYCLER {'activesubstancename': 'DEVICE'} LIBERTY CYCLER SET {'activesubstancename': 'DEVICE'}","0.99932115237148"
"Visual impairment 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99767951082751"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Loss of proprioception 2 Fall 2 Gait disturbance 2 Asthenia 2","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99478651695598"
"Embedded device 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99739590386138"
"Hyponatraemia 1 Dyspnoea 1 Pyrexia 1 Pancreatitis 1 Influenza 1 Pneumonia 1 Sepsis 1","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99475198517327"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Dizziness 1","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99716758077395"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Myocardial infarction 5","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99550861851828"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Death 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99861292150582"
"Investigation 6","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99660886360621"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Arthropathy 1 Osteonecrosis 6","ADVAIR BLOOD PRESSURE MEDICATION","0.99757620606622"
"Gangrene 2 Gangrene 2","INVEGA SUSTENNA INVEGA SUSTENNA INVEGA SUSTENNA","0.95642988469431"
"Grand mal convulsion 1 Vomiting 1 Amnesia 3","NEUTROGENA DEEP MOISTURE DAY WITH SUNSCREEN BROAD SPECTRUM SPF20","0.99587049621651"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
"Disease progression 5","CAPZASIN HP ARTHRITIS PAIN RELIEF","0.99145451589553"
